,image_id,class_id,x_min,y_min,x_max,y_max
0,9a5094b2563a1ef3ff50dc5c7ff71345,3,229.0,437.0,555.0,587.0
1,9a5094b2563a1ef3ff50dc5c7ff71345,10,596.0,576.0,625.0,664.0
2,9a5094b2563a1ef3ff50dc5c7ff71345,11,596.0,576.0,625.0,664.0
3,9a5094b2563a1ef3ff50dc5c7ff71345,0,350.0,238.0,433.0,322.0
4,051132a778e61a86eb147c7c6f564dfe,0,425.0,243.0,537.0,355.0
5,051132a778e61a86eb147c7c6f564dfe,3,317.0,439.0,677.0,574.0
6,051132a778e61a86eb147c7c6f564dfe,11,530.0,150.0,601.0,201.0
7,1c32170b4af4ce1a3030eb8167753b06,11,618.0,137.0,681.0,195.0
8,1c32170b4af4ce1a3030eb8167753b06,11,593.0,120.0,682.0,204.0
9,1c32170b4af4ce1a3030eb8167753b06,11,209.0,119.0,315.0,144.0
10,1c32170b4af4ce1a3030eb8167753b06,13,578.0,181.0,629.0,249.0
11,1c32170b4af4ce1a3030eb8167753b06,13,176.0,146.0,257.0,247.0
12,1c32170b4af4ce1a3030eb8167753b06,13,183.0,152.0,303.0,267.0
13,1c32170b4af4ce1a3030eb8167753b06,13,561.0,150.0,638.0,246.0
14,1c32170b4af4ce1a3030eb8167753b06,13,597.0,252.0,657.0,305.0
15,0c7a38f293d5f5e4846aa4ca6db4daf1,5,53.0,18.0,705.0,737.0
16,0c7a38f293d5f5e4846aa4ca6db4daf1,5,29.0,65.0,337.0,709.0
17,0c7a38f293d5f5e4846aa4ca6db4daf1,5,449.0,81.0,729.0,723.0
18,0c7a38f293d5f5e4846aa4ca6db4daf1,8,152.0,264.0,223.0,320.0
19,0c7a38f293d5f5e4846aa4ca6db4daf1,9,53.0,18.0,705.0,737.0
20,47ed17dcb2cbeec15182ed335a8b5a9e,7,84.0,270.0,397.0,992.0
21,47ed17dcb2cbeec15182ed335a8b5a9e,8,187.0,782.0,221.0,820.0
22,47ed17dcb2cbeec15182ed335a8b5a9e,9,574.0,327.0,682.0,466.0
23,47ed17dcb2cbeec15182ed335a8b5a9e,9,185.0,784.0,225.0,828.0
24,d3637a1935a905b3c326af31389cb846,8,186.0,618.0,204.0,634.0
25,d3637a1935a905b3c326af31389cb846,8,178.0,587.0,193.0,596.0
26,d3637a1935a905b3c326af31389cb846,8,167.0,604.0,189.0,621.0
27,d3637a1935a905b3c326af31389cb846,11,177.0,116.0,304.0,224.0
28,d3637a1935a905b3c326af31389cb846,13,186.0,207.0,320.0,381.0
29,d3637a1935a905b3c326af31389cb846,13,612.0,334.0,692.0,398.0
30,d3637a1935a905b3c326af31389cb846,0,443.0,247.0,507.0,319.0
31,afb6230703512afc370f236e8fe98806,0,448.0,251.0,551.0,355.0
32,afb6230703512afc370f236e8fe98806,5,637.0,546.0,723.0,677.0
33,afb6230703512afc370f236e8fe98806,5,162.0,534.0,364.0,643.0
34,afb6230703512afc370f236e8fe98806,6,164.0,461.0,382.0,639.0
35,afb6230703512afc370f236e8fe98806,6,637.0,546.0,723.0,677.0
36,afb6230703512afc370f236e8fe98806,7,619.0,535.0,708.0,678.0
37,afb6230703512afc370f236e8fe98806,7,162.0,531.0,334.0,639.0
38,afb6230703512afc370f236e8fe98806,9,162.0,534.0,364.0,643.0
39,afb6230703512afc370f236e8fe98806,9,623.0,530.0,702.0,663.0
40,afb6230703512afc370f236e8fe98806,13,162.0,534.0,364.0,643.0
41,afb6230703512afc370f236e8fe98806,13,623.0,530.0,702.0,663.0
42,7c1add6833d5f0102b0d3619a1682a64,7,195.0,432.0,336.0,533.0
43,7c1add6833d5f0102b0d3619a1682a64,7,200.0,444.0,301.0,507.0
44,7c1add6833d5f0102b0d3619a1682a64,10,93.0,246.0,414.0,760.0
